"p1.20160322"	"p1.20160401"	"p3.20160322"	"p3.20160401"	"p3.20160714"	"p3.20160811"	"p4.20160322"	"p4.20160401"	"p4.20160415"	"p4.20160713"	"p4.20160727"	"p5.20160322"	"p5.20160415"	"p5.20160715"	"p5.20160817"	"p6.20160322"	"p6.20160415"	"p6.20160701"	"p6.20160726"	"p7.20160322"	"p7.20160415"	"p7.20160713"	"p7.20160729"	"p8.20160720"	"p8.20160825"
"165"	417	2827	7506	3800	3730	2142	3875	4693	3274	3009	3524	9872	10623	9315	16105	8516	13197	22594	8274	5492	3336	8973	8829	36023	64458
"166"	105	1142	2549	1578	151	136	1138	894	430	152	388	6	62	26	12	10	110	114	15	40	5	12	2	2	36
"167"	35	68	39	47	8	23	56	42	39	9	35	60	53	14	54	22	0	24	13	0	71	57	35	28	101
"168"	194	2578	4300	10291	908	410	1216	1240	667	1960	790	121	168	92	135	109	201	236	62	16	18	401	103	271	516
"169"	118	2308	968	692	33	20	637	441	234	279	89	48	44	31	8	9	153	0	13	2	2	38	14	5	31
"170"	344	10484	16350	8039	448	675	3591	2766	2701	966	1592	35	86	118	1513	25	195	2	22	2	17	32	11	767	14298
"171"	4007	10754	64394	17163	2647	8035	17721	13991	7289	2999	7200	723	565	669	728	397	678	364	192	88	160	334	180	251	251
"172"	98	359	2263	456	282	132	159	204	60	138	155	8	54	37	31	2	51	3	0	0	4	10	2	0	2
"173"	23	47	71	6	20	32	6	26	175	93	87	40	2990	35	19	95	54	52	764	61	18	77	15	41	3872
"174"	778	9105	18847	8204	763	1325	5814	7501	4813	1191	1717	902	1605	141	132	1441	850	135	21	41	125	126	27	568	68
"175"	22	37	375	25	18	10	40	161	42	13	16	0	8	15	6	0	11	5	2	0	4	0	2	0	0
"176"	50	23	6	70	66	34	6	75	18	61	64	13	25	13	7	18	31	6	6	10	4	23	12	35	16
"177"	130	1461	2219	2552	841	1165	1752	1003	694	391	558	3264	2364	1595	1406	1948	1969	5571	1199	1747	1248	2812	2281	1962	1205
"178"	1518	3172	22374	7805	726	1125	5682	6114	2298	746	2313	215	113	172	250	164	127	251	43	72	316	43	81	53	58
"179"	1433	8331	22779	7136	911	4360	7400	4793	2954	1694	3696	29	256	188	248	43	300	19	18	20	28	28	12	38	14
"180"	446	2849	5934	2595	426	918	1317	835	650	300	603	34	40	77	132	10	64	39	16	8	10	65	21	49	30
"181"	1264	8110	23317	9041	863	1420	8444	12297	5775	1265	3776	280	478	247	471	180	480	322	103	234	48	2061	50	96	34
"182"	36	2	4	15	22	87	2	27	40	5	0	8	0	0	12	4	27	13	2	0	0	12	62	3	21
"183"	825	3912	10494	3506	1121	14253	3851	2837	1635	1541	3768	43	196	144	627	12	168	23	26	24	32	18	15	12	39
"184"	1470	26377	37908	20595	1995	3243	12210	8574	4866	2730	4107	66	247	210	196	38	445	30	21	12	32	54	28	112	319
"185"	11	51	8	66	4	4	31	23	3	8	3	0	2	0	0	0	5	0	0	0	0	2	0	0	0
"186"	25	331	2	233	0	42	10	3	0	10	24	0	6	6	0	0	24	14	0	0	0	4	20	2	0
"187"	18	3	22	48	6	6	37	0	2	4	7	0	4	5	14	0	17	2	0	0	2	8	0	0	63
"188"	27	3	76	0	154	0	0	16	0	34	3	0	11	0	0	0	0	0	0	0	0	0	0	0	0
"189"	20	1240	358	81	880	15	1209	3134	100	288	276	68830	51056	6271	15959	76651	42008	39580	14643	90525	40274	9888	15037	23379	36062
"190"	40	102	577	109	15	27	163	134	42	42	26	2	2	2	6	0	6	2	2	2	2	4	0	2	2
"191"	588	3662	14829	5043	324	699	3094	1957	1548	337	831	13	112	44	43	14	157	2	10	4	25	22	2	12	6
"192"	37	1014	1509	150	454	55	334	328	579	173	378	383	26	97	148	130	30	1271	106	101	33	459	886	191	67
"193"	23	0	170	110	2	3	23	17	44	17	0	45	16	40	54	5	87	40	16	16	2	3	38	17	107
"194"	38	967	1547	511	104	42	682	361	1222	126	186	7	19	0	10	0	21	2	0	0	0	0	6	12	6
"195"	29	56	126	72	31	72	19	57	43	136	211	18	74	57	82	21	55	2	4	0	0	62	24	135	148
